;bibl, og, bez, 5;bibl, og, z, 5;bibl, og, bez, 6;bibl, og, z, 6;bibl, og, bez, 7;bibl, og, z, 7;;;
accuracy;0,96;0,94;0,52;0,62;0,80;0,70;;;
precission;1,00;0,98;0,27;0,68;0,04;0,18;;;
recall;0,96;0,96;0,88;0,70;0,36;0,20;;;
f1;0,98;0,97;0,41;0,69;0,07;0,19;;;
treningowe;0,9809;0,9688;0,5211;0,6936;0,1589;0,1922;;;*bibl – biblioteka
;;;;;;;;;*moje - moja klasa
accuracy;0,96;0,95;0,47;0,61;0,80;0,72;;;*og – oryginalne bez oczyszczenia
precission;1,00;0,98;0,24;0,64;0,04;0,22;;;*bez/z – normalizacja
recall;0,96;0,96;0,82;0,73;0,39;0,24;;;
f1;0,98;0,97;0,37;0,68;0,08;0,23;;;
test;0,9685;0,9658;0,4752;0,6685;0,3292;0,3522;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;moje, og, bez, 5;moje, og, z, 5;bibl, og, bez, 6;bibl, og, z, 6;bibl, og, bez, 7;bibl, og, z, 7;;;
accuracy;0,92;0,07;0,65;0,54;0,80;0,81;;;
precission;0,94;0,04;0,98;0,29;0,12;0,28;;;
recall;0,97;0,99;0,65;0,92;0,47;0,52;;;
f1;0,96;0,07;0,78;0,44;0,19;0,37;;;
treningowe;0,9561;0,3685;0,8012;0,5489;0,2562;0,3908;;;
;;;;;;;;;
accuracy;0,90;0,07;0,68;0,49;0,80;0,80;;;
precission;0,93;0,04;0,97;0,26;0,08;0,26;;;
recall;0,97;0,96;0,67;0,87;0,41;0,48;;;
f1;0,95;0,07;0,80;0,40;0,13;0,34;;;
test;0,9364;0,2824;0,7802;0,5026;0,3549;0,4713;;;
